Company,brand_name,key ingredients,key benefits,rating,number of rating
SBL Jaborandi Hair Oil,SBL Pvt Ltd,NA,"['Helps in the reduction of hair fall', 'Helps to strengthen and nourish the hair roots', 'Helps to counter dandruff and premature greying of hair', 'Facilitates an increase in density, volume, and bounce of hair']",4.3,316 Ratings
SBL Cineraria Maritima 10% Eye Drop,SBL Pvt Ltd,NA,"['It can help improve eye health', 'It may be helpful for reducing cataracts', 'It can improve vision problems']",4.5,339 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,Adel Pekana Germany,NA,"['Strengthens and tones the heart muscles', 'Reduces pulse acceleration and improves rhythm disturbances', 'Stimulates the cardiovascular system', 'Dilates the coronary arteries and improves circulation']",4.6,428 Ratings
Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,NA,"['Homeopathic formulation with lipid lowering properties', 'Useful in treatment of hypercholesterolemia', 'Reduces the risk of atherosclerosis', 'Treats palpitations, abdominal distention and anorexia']",4.6,310 Ratings
Bakson's Homeopathy Y-Lax Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Bakson Y Lax tablets are effective homeopathic tablets for constipation that are indicated in constipation', 'Y Lax tablets help in overall improvement of digestive health', 'Used to relieve the associated complaints of bloating sensation, flatulence, abdominal pain and straining during defecation', 'Y Lax tablets have a laxative action that helps in toning up the intestines, regulating the bowel habits']",4.5,844 Ratings
SBL Sarracenia Purpurea Dilution 1000 CH,SBL Pvt Ltd,NA,"['Helps in relieving headaches and body pain', 'Can soothe swelling and soreness of eyes', 'Especially useful against skin eruptions']",4.7,29 Ratings
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,NA,"['Aids in relieving teething issues in infants', 'Helps in stimulating teeth eruptions', 'Aids in recovering from fracture']",4.7,1109 Ratings
Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,NA,"['Helps relieve mental and physical exhaustion', 'Improves power and performance', 'Boosts vigour and vitality', 'Helps improve energy levels']",4.1,1533 Ratings
Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,NA,"['Helps prevent hair fall and baldness', 'Prevents premature greying and thinning of hair', 'Promotes strong and healthy hair', 'Restores hair strength and volume']",4.3,1587 Ratings
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,NA,"['Improves your overall digestive health', 'Reduces weakness and fatigue', 'Restores lost strength and stamina']",4.6,405 Ratings
Bakson's Homeopathy Y-Lax Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Bakson Y Lax tablets are effective homeopathic tablets for constipation that are indicated in constipation', 'Y Lax tablets help in overall improvement of digestive health', 'Used to relieve the associated complaints of bloating sensation, flatulence, abdominal pain and straining during defecation', 'Y Lax tablets have a laxative action that helps in toning up the intestines, regulating the bowel habits']",4.5,844 Ratings
SBL Stobal Cough Syrup,SBL Pvt Ltd,NA,"['It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract', 'Acts on dry coughs, irritation in the throat and coughs associated with bronchitis, and laryngitis', 'It reduces spasmodic irritation of the chest', 'A homeopathy cough medicine that removes phlegm and relieves difficulty in swallowing']",4.6,1623 Ratings
Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,NA,"['Beneficial in case of kidney stones, constipation, and diarrhoea', 'Provides relief in case of arthritic pains', 'Helps to prevent inflammation and pain in gall bladder', 'Beneficial in skin related ailments', 'Helps to overcome pains related to renal calculi']",4.5,941 Ratings
Dr. Reckeweg R73 Joint Pain Drop,Dr Reckeweg & Co,NA,"['Provides relief in joint pain', 'Helps relieve rheumatic and arthritis pain', 'Reduces joint inflammation and stiffness']",4.5,856 Ratings
SBL Nux Vomica Dilution 30 CH,SBL Pvt Ltd,NA,"['Useful for irritability, nausea, and vomiting', 'Provides relief in case of severe headaches and irritation in the eyes', 'Facilitates aid in case of flu, mouth ulcers, and tooth sensitivity']",4.6,2798 Ratings
Dr Willmar Schwabe India Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,NA,"['Acts as a sexual health supplement', 'Helps to overcome weakness and nervous depression', 'Aids in strengthening the immune system']",4,802 Ratings
SBL Arnica Montana Hair Oil with Tjc,SBL Pvt Ltd,NA,"['Helps to control hair fall', 'Facilitates hair growth', 'Helps to nourish the hair roots', 'Helps to counter dandruff and itching']",4.3,721 Ratings
Dr. Reckeweg R13 Hemorrhoidal Drop,Dr Reckeweg & Co,NA,"['Provides relief for flatulence, backaches', 'Relieves from eczema and itching', 'Aids in relieving burning of external hemorrhoids mucosa']",4.4,813 Ratings
SBL Scalptone Tablet,SBL Pvt Ltd,NA,"['Helps to counter hair loss', 'Helps to prevent dandruff, irritation, and redness of scalp', 'Provides relief in case of itching of scalp and eczema', 'Helps to nourish the hair follicles', 'Helps to prevent greying of hair', 'Beneficial in case of baldness, thinning and splitting of hair']",4.2,446 Ratings
Bakson's Homeopathy Aller Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Aller Aid Tablets provide relief from hay fever', 'No side effects like drowsiness or disturbance in daily routine', 'Aller Aid Tablets are indicated for sinus congestion', 'Aller Aid tablets are helpful against runny nose, sneezing, watery eyes', 'Helps relieve fever and body ache due to allergies']",4.4,707 Ratings
SBL Clearstone Drop,SBL Pvt Ltd,NA,"['It is useful in case of kidney and ureter stones', 'It helps to relieve the urinary tract blockage', 'It helps to dissolve the stones in the kidney']",4.5,1029 Ratings
Dr. Reckeweg R5 Stomach and Digestion Drop,Dr Reckeweg & Co,NA,"['Helps relieve nausea and vomiting', 'Alleviates pain in the abdomen and stomach', 'Improves hyperacidity, constipation and flatulence', 'Useful for relapsing gastritis']",4.5,785 Ratings
SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,NA,"['It is a cardiac tonic that tones up heart muscles', 'It improves the overall physiological functions of the cardiovascular system', 'It acts on the heart, increasing the systole and diminishing the rapidity', 'It protects against potential heart problems']",4.7,876 Ratings
SBL Berberis Vulgaris Mother Tincture Q,SBL Pvt Ltd,NA,"['Useful in case of renal calculi or kidney stones', 'Helps to provide relief in case of constipation and diarrhea', 'Helps to reduce inflammation and pain in the gallbladder', 'Helps to counter arthritic pains', 'Facilitates relief in skin-related illness']",4.6,1005 Ratings
Bhargava Spondin Drop,Bhargava Phytolab,NA,"['Useful in case of Cervical Spondylitis', 'Works to provide relief in case of neuralgia, chronic pain, joint pain, sharp back spasm', 'Helps to reduce pain between shoulders, vertigo, and headache']",4.6,1225 Ratings
Bakson's Homeopathy Aller Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Aller Aid Tablets provide relief from hay fever', 'No side effects like drowsiness or disturbance in daily routine', 'Aller Aid Tablets are indicated for sinus congestion', 'Aller Aid tablets are helpful against runny nose, sneezing, watery eyes', 'Helps relieve fever and body ache due to allergies']",4.4,707 Ratings
Bakson's Homeopathy Throat Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Bakson Throat Aid tablets effectively manage sore throat, hoarseness and loss of voice', 'The product helps to provide relief from throat inflammation', 'Throat Aid tablets provide relief from the dryness of the throat, cough and cold, swallowing, dry suffocative cough, sneezing', 'Provides relief from tickling cough, running nose, marked exhaustion, headache and fever']",4.5,573 Ratings
Dr. Reckeweg R9 Cough Drop,Dr Reckeweg & Co,NA,"['Helps improve fits of coughing', 'Prevents mucus buildup and accumulation', 'Relieves violent attack of convulsive cough', 'Useful for hoarseness and harsh and dry cough']",4.6,534 Ratings
Dr. Reckeweg R25 Prostatitis Drop,Dr Reckeweg & Co,NA,"['Relieves frequent and painful urination', 'Improves pain in the bladder and the urethra', 'Useful for glairy and gravel in the urine', 'Eliminates intermittent urination and long waiting until emission']",4.5,691 Ratings
SBL Arnica Montana Dilution 200 CH,SBL Pvt Ltd,NA,"['Reduces swelling and soreness in the injured area', 'Restricts bleeding around the injured area', 'It is primarily used for the treatment of post-injury bruises and sores']",4.6,2511 Ratings
SBL Calcarea Fluorica Biochemic Tablet 6X,SBL Pvt Ltd,NA,"['It helps manage varicose veins and other skin disorders', 'It relieves symptoms linked with joint pain and discomfort', 'It is also helpful in reducing the inflammation of thyroid glands', 'It is helpful in the reduction of dental cavities and bleeding gums']",4.5,1452 Ratings
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,Dr Reckeweg & Co,NA,"['Aids in the management of diabetes', 'Helps manage secondary symptoms of diabetes', 'Relieves thirst, loss of appetite and agitation', 'Can help with conditions related to the blood and glandular system']",4.5,640 Ratings
SBL Bio-Combination 6 Tablet,SBL Pvt Ltd,NA,"['Provides relief from respiratory ailments', 'Useful for treating cold, cough, painful tonsils etc.', 'Alleviates running or blocked nose, nasal catarrh, sore throat etc.']",4.7,756 Ratings
SBL Syzygium Jambolanum Mother Tincture Q,SBL Pvt Ltd,NA,"['Helps to manage blood sugar levels', 'Facilitates aid in case of skin conditions such as ulcers and red papules', 'Beneficial in ailments of stomach disorders such as indigestion and diarrhoea', 'Helps to counter the symptoms of high blood sugar levels', 'Helps to overcome fatigue and weakness']",4.6,1188 Ratings
SBL Arsenicum Album Dilution 30 CH,SBL Pvt Ltd,NA,"['Helps in treating the increased temperature with marked periodicity', 'Provides support in difficult, suffocating, and wheezing respiration with dry cough and spitting of blood with sputum', 'Useful in treating respiratory ailments such as breathing issues']",4.6,1434 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
Dr. Reckeweg R71 Sciatica Drop,Dr Reckeweg & Co,NA,"['It is used to manage sciatica-related ailments', 'It relieves muscle contraction and neuralgic pains and cramps', 'It helps relieve nocturnal pain, ameliorated by warm applications and pressure']",4.5,737 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Bakson's Homeopathy Throat Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Bakson Throat Aid tablets effectively manage sore throat, hoarseness and loss of voice', 'The product helps to provide relief from throat inflammation', 'Throat Aid tablets provide relief from the dryness of the throat, cough and cold, swallowing, dry suffocative cough, sneezing', 'Provides relief from tickling cough, running nose, marked exhaustion, headache and fever']",4.5,573 Ratings
Dr. Reckeweg R7 Liver and Gallbladder Drop,Dr Reckeweg & Co,NA,"['Helps ease liver ailments and improves liver function', 'Provides relief from flatulence and constipation', 'Helps with liver enlargement and constriction', 'Improves lack of appetite and abdominal pain']",4.5,614 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Nux Vomica Dilution 200 CH,SBL Pvt Ltd,NA,"['Useful for irritability, nausea, and vomiting', 'Provides relief in case of severe headaches and irritation in the eyes', 'Facilitates aid in case of flu, mouth ulcers, and tooth sensitivity']",4.6,2798 Ratings
Bakson's Homeopathy Calcarea Phosphorica Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps manage dentition and bone affection', 'Assists in managing dyspepsia', 'Works as a growth supplement for children']",4.5,53 Ratings
Dr. Reckeweg R85 High Blood Pressure Drop,Dr Reckeweg & Co,NA,"['It dissolves the calcareous deposits in the arteries to lower blood pressure', 'It manages anxiety and restlessness associated with high blood pressure', 'It aids in the prevention of cardiovascular disease, reduces blood pressure, and boosts immunity', 'It aids in the reduction of pressure on cardiac performance']",4.5,369 Ratings
SBL Prostonum Drop,SBL Pvt Ltd,NA,"['It helps in enlarged prostate and prevents mild to severe urinary disturbances in men', 'It helps control frequent urination and urgency leakage or dribbling', 'It provides relief in cases of burning sensation while urinating', 'It helps in the retention of urine due to prostate enlargement']",4.5,855 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
Dr. Reckeweg R42 Varicosis Drop,Dr Reckeweg & Co,NA,"['Helps relieve venous stasis, varicosis and varicose ailments', 'Helps with inflammation and choking of the veins', 'Beneficial for eczema on the lower thighs', 'Prevents eruptions in the vesicles']",4.4,577 Ratings
SBL Berberis Aquifolium Gel,SBL Pvt Ltd,NA,"['Helps with eczema', 'Aids in reducing dark cycles', 'Helps to lighten complexion']",4.3,981 Ratings
Dr. Reckeweg R11 Rheumatism Drop,Dr Reckeweg & Co,NA,"['Helps reduce joint pain', 'Aids in relieving pain in the muscles', 'Provides relief in rheumatic issues']",4.6,561 Ratings
Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,Dr Willmar Schwabe India Pvt Ltd,NA,"['Alcohol-free', 'Manages the opacity of vision', 'Assists in computer vision syndrome']",4.5,238 Ratings
SBL Jaborandi Mother Tincture Q,SBL Pvt Ltd,NA,"['Helps to reduce hair loss', 'Helps to nourish the hair follicles', 'Helps to counter premature greying of hair and baldness', 'Provides relief in case of sleeping disorders', 'Useful in case of Thyroid, Goitre, and Diarrhoea']",4.4,731 Ratings
SBL Chelidonium Majus Mother Tincture Q,SBL Pvt Ltd,NA,"['Useful in pneumonia, jaundice, gallstones, and other liver complaints', 'Helps protect the liver and spleen', 'Possesses anti-inflammatory properties']",4.5,865 Ratings
SBL Kali Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,NA,"['Relieves muscle weakness, anxiety, depression and chronic fatigue', 'Increases stamina both physically and mentally', 'Helps to increase the blood flow during menses', 'Helps in recovering severe skin conditions and irritations']",4.6,1363 Ratings
Dr. Reckeweg R65 Psoriasis Drop,Dr Reckeweg & Co,NA,"['It helps manage skin conditions such as psoriasis and dryness', 'It helps to reduce scars, improve skin complexion, and soften the skin', 'It reduces frequent skin eruptions', 'It also aids in wound healing and the management of eczema']",4.4,469 Ratings
ADEL 18 Glucorect Drop,Adel Pekana Germany,NA,"['Manages sugar in the urine and irregular cardiac action', 'Works on the functions of the liver and flatulence', 'Counters exhaustion', 'Assists in the symptoms of high blood sugar levels']",4.5,260 Ratings
Dr. Reckeweg R49 Sinus Drop,Dr Reckeweg & Co,NA,"['Improves lack of taste and smell', 'Reduces hoarseness and catarrh', 'Prevents build-up of mucus', 'Beneficial for the treatment of sinusitis']",4.6,445 Ratings
Bakson's Homeopathy Gastro Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Effective tablets for digestion help improve digestion and gut health', 'Potent tablet for gastric affections and helps manage gastritis', 'Helps prevent diarrhoea', 'Tablets for constipation management']",4.5,216 Ratings
SBL Hydrastis Canadensis Mother Tincture Q,SBL Pvt Ltd,NA,"['Improves muscular power, digestion and reduces constipation', 'Helps in the treatment of smallpox', 'Stimulates the uterine muscles and the central nervous system', 'This medicine does not have any side effects']",4.5,480 Ratings
SBL Arnica Montana Dilution 30 CH,SBL Pvt Ltd,NA,"['Reduces swelling and soreness in the injured area', 'Restricts bleeding around the injured area', 'It is primarily used for the treatment of post-injury bruises and sores']",4.6,2511 Ratings
Dr. Reckeweg R59 Weight Loss,Dr Reckeweg & Co,NA,"['These are homeopathic drops that help manage obesity', 'It helps to maintain fluid levels in the body, stimulates thyroid functions, and prevents the formation of goitres', 'It aids in enhancing metabolism at the tissue level', 'It supports healthy digestive function, relieves constipation and detoxifies the body']",4.2,511 Ratings
SBL Stobal Cough Syrup,SBL Pvt Ltd,NA,"['It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract', 'Acts on dry coughs, irritation in the throat and coughs associated with bronchitis, and laryngitis', 'It reduces spasmodic irritation of the chest', 'A homeopathy cough medicine that removes phlegm and relieves difficulty in swallowing']",4.6,1623 Ratings
SBL Calcarea Phosphorica Biochemic Tablet 6X,SBL Pvt Ltd,NA,"['Faciliates aid in case of bone-related problems and dentition', 'Helps in the growth of teeth and bones', 'Useful in case of psychological issues such as depression', 'Helps to increase Calcium and Phosphate content in the body']",4.6,1074 Ratings
Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Manages cramps and sciatica', 'Assists in nervous phenomena', 'Manages all maladies having their origin in nerve cells']",4.6,70 Ratings
SBL Dibonil Drop,SBL Pvt Ltd,NA,"['Manages blood sugar levels', 'Reduces frequent urination, excessive thirst, cramps, and muscular pain', 'Assists in mental and physical fatigue', 'Promotes the growth of tissues in the body']",4.6,731 Ratings
Bakson's Homeopathy Rheum Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Rheum Aid Tablets are effective against joint pains, muscular weakness, and fatigue', 'Tones up the musculoskeletal system', 'Relieves pain, stiffness, and impaired functioning of the affected part', 'Contains Calcarea phos. 3x: which is used in fractures that take time to heal', 'These joint pain tablets provide effective relief with no side effects']",4.6,196 Ratings
SBL Liv T Tonic,SBL Pvt Ltd,NA,"['It helps manage various liver conditions like jaundice, hepatitis and indigestion', 'It combats liver disorders caused by chronic gastric indiscretion, viral and bacterial infection, drugs, chemicals and alcohol', 'It rejuvenates the hepatic cells, detoxifies the liver and promotes the flow of bile', 'It helps to provide relief in case of lack of appetite']",4.5,821 Ratings
Dr. Reckeweg R84 Inhalent Allergy Drop,Dr Reckeweg & Co,NA,"['It is a homeopathic formula for respiratory allergies', 'Its key ingredients treat allergies to airborne particles, which may cause asthma or allergic reaction', 'It helps relieve acute respiratory issues like influenza and excessive sneezing', 'It lowers potency for hormonal anti-allergic response']",4.4,387 Ratings
SBL Bryonia Alba Dilution 30 CH,SBL Pvt Ltd,NA,"['Can help alleviate influenza, coryza, arthritis, and rheumatism', 'Provides relief from symptoms of flu', 'Helps reduce joint and muscle pain', 'May be useful for soothing dry cough']",4.6,1530 Ratings
Bakson's Homeopathy Pilgo Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Pilgo tablets improve bowel movements and provides relief from itching, burning, and discomfort associated with piles', 'Fast-acting and effective tablets for piles', 'Pilgo tablets reduce inflammation and promote healing', 'Clinically tested and proven', 'Easy to use and swallow Pilgo tablets', 'Can be used as a preventive measure for piles']",4.4,322 Ratings
SBL Rhus Toxicodendron Dilution 200 CH,SBL Pvt Ltd,NA,"['Useful in the treatment of eczema and relieves conditions of itchiness and rashes', 'Also helpful in the treatment of rheumatic pain']",4.6,1252 Ratings
Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,Dr Reckeweg & Co,NA,"['Helps reduce stress and anxiety', 'Aids in providing sound sleep', 'Enhances physical stamina of the body']",4.6,680 Ratings
Dr Willmar Schwabe India Alpha-Coff Cough Syrup,Dr Willmar Schwabe India Pvt Ltd,NA,"['Manages spasmodic and suffocative cough', 'Reduces the secretions of the mucous membranes', 'Relieves nausea and vomiting associated with violent cough', 'Non-addict forming and has no drowsiness']",4.5,457 Ratings
Dr. Reckeweg Nux Vomica Dilution 30 CH,Dr Reckeweg & Co,NA,"['Helps alleviate mood swings and control anger', 'Can elevate mood and soothe headaches', 'May be useful against cough, cold, sneezing etc.', 'Can reduce tooth sensitivity and eye irritation']",4.6,1063 Ratings
SBL Thuja Occidentalis Dilution 200 CH,SBL Pvt Ltd,NA,"['Primarily used to treat viral warts; a small, fleshy bump on the skin or mucous membrane caused by human papillomavirus', 'Helps in treating and preventing juvenile acne caused by inflammation of the hair follicles', 'Helps in fighting skin disorders like eczema, rash and seborrheic dermatitis', 'It is useful in chronic conditions and prevents health conditions']",4.4,1262 Ratings
SBL Crataegus Oxyacantha Q Mother Tincture,SBL Pvt Ltd,NA,"['Regulates blood pressure', 'Helps in reducing pain in the head', 'Relieves joint pains']",4.7,724 Ratings
Dr. Reckeweg R16 Migraine and Neuralgia Drop,Dr Reckeweg & Co,NA,"['Provides relief from migraines', 'Relieves nervous and continuous headaches', 'Improves noise and light sensitivity', 'Reduces nervous irritability and alternating heat and shivering']",4.5,390 Ratings
SBL Damiagra Forte Drop,SBL Pvt Ltd,NA,"['Enhances vitality and vigour in males', 'Helps to fortify the immune system', 'Reduces stress and weakness', 'Helps to increase stamina and energy levels']",4,353 Ratings
SBL Terminalia Arjuna Mother Tincture Q,SBL Pvt Ltd,NA,"['The formula can help improve cardiovascular health', 'It strengthens the cardiac muscles and prevents illnesses', 'It helps in regulating the heartbeat']",4.7,474 Ratings
Dr. Reckeweg R82 Anti Fungal Drop,Dr Reckeweg & Co,NA,"['It helps manage fungal infections', 'It provides antigenic relief by stimulating the defence mechanism of the body', 'It helps reduce fatigue, irritability, unclear thinking and inability to concentrate', 'It increases zinc absorption in the body']",4.3,478 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
SBL Arnica Montana Mother Tincture Q,SBL Pvt Ltd,NA,"['Reduces swelling and soreness in the injured area', 'Restricts bleeding around the injured area', 'It is primarily used for the treatment of post-injury bruises and sores']",4.6,481 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Belladonna Dilution 30 CH,SBL Pvt Ltd,NA,"['Provides relief from issues in the bladder and biliary tract', 'Highly useful for patients suffering from rheumatic and arthritic pains', 'It relieves sharp pain in the stomach caused due to excess digestive acid in the stomach']",4.7,1299 Ratings
Bakson's Homeopathy Sinus Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Sinus Aid Tablets are effective for sinusitis symptoms like blocked nose and sneezing', 'This homoeopathic medicine for sinusitis is especially useful for continued and chronic sinusitis', 'Sinus Aid Tablets also help prevent recurrences of sinusitis', 'Helps boost our immunity']",4.4,147 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Bryonia Alba Dilution 200 CH,SBL Pvt Ltd,NA,"['Can help alleviate influenza, coryza, arthritis, and rheumatism', 'Provides relief from symptoms of flu', 'Helps reduce joint and muscle pain', 'May be useful for soothing dry cough']",4.6,1530 Ratings
SBL Sabal Serrulata Mother Tincture Q,SBL Pvt Ltd,NA,"['The product helps to increase weight and strength', 'It provides relief from excessive cough and cold', 'It helps to calm the nervous system, thereby reducing anxiety']",4.5,449 Ratings
Dr. Reckeweg Bio-Combination 6 (BC 6) Tablet,Dr Reckeweg & Co,NA,"['Helps in relieving common cold', 'Reduces soreness in the throat', 'Relieves dry tickling cough']",4.7,267 Ratings
Dr. Reckeweg Arsenicum Album 30 Dilution,Dr Reckeweg & Co,NA,"['Helps in the treatment of stomach disorders', 'Relieves stress and anxiety in patients with chronic health conditions', 'Aids in treating respiratory problems such as cough', 'Helps improve fever and weakness post an illness']",4.7,563 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
Dr. Reckeweg R27 Renal Calculi Drop,Dr Reckeweg & Co,NA,"['Beneficial for renal calculi and catarrh of the bladder', 'Reduces pain and prickings in the kidneys and sacral region', 'Relieves pain when urination and frequent urge to urinate', 'Useful for redding and glairy urine']",4.5,393 Ratings
Hapdco Aqui Plus Cream,HAPDCO,NA,"['Beneficial in case of acne, pimples, dermatosis, psoriasis, warts', 'Helps in the removal of blackheads', 'Facilitates lightening of skin tone and reduces scars', 'Helps to nourish the skin']",4.3,558 Ratings
SBL Lycopodium Clavatum Dilution 30 CH,SBL Pvt Ltd,NA,"['It is used for bloating and liver complaints', 'Helps in relieving pains related to rheumatism and arthritis', 'Based on homoeopathic composition, it is safe to use and has no side effects']",4.5,1286 Ratings
Dr. Reckeweg Rhus Tox Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps soothe rheumatic and arthritic pains', 'Can relieve itchy skin and treat skin rashes', 'Helps in alleviating depression and anxiety', 'Useful for managing cough, dry throat, and viral infections']",4.6,1071 Ratings
Dr. Reckeweg Aalserum 7X Mother Tincture Q,Dr Reckeweg & Co,NA,"['Helps relieve urinary disorders', 'Promotes kidney, liver and heart function', 'Relieves swelling and inflammation in the body', 'Improves flow of urine']",4.5,373 Ratings
Wheezal Hekla Lava Dental Cream,Wheezal Homeo Pharma,NA,"['Helps in teeth strengthening', 'Prevents bleeding of gums', 'Provides relief in pyorrhoea and gingivitis']",4.5,656 Ratings
New Life NL-2 Blood Urea Creatinin Drop,New Life Laboratories Pvt Ltd,NA,"['Helps relieve burning in urethra', 'Possesses anti-inflammatory properties', 'Boosts your immune system']",4.4,373 Ratings
